Name,Suburb,Latitude,Longitude,Address,ContactNumber,Rating,Website
Caroline Springs Chinese Medicine Clinic,Ascot Vale,-37.7303129,144.7474349,"62 Commercial Rd, Caroline Springs VIC 3023, Australia",(03) 9363 2951,5,NULL
Future Health Medical and Dental Centre,Ascot Vale,-37.7712703,144.9144958,"142 Maribyrnong Rd, Moonee Ponds VIC 3039, Australia",(03) 9078 6259,4.5,http://www.futurehealthcare.com.au/
Oriental Medicine Health Center,Ascot Vale,-37.749526,144.778888,"260 Station Rd, Cairnlea VIC 3023, Australia",(03) 9363 6338,4,NULL
Acupuncture Medical Clinics,Ascot Vale,-37.73755,144.8909,"10 Carrington Rd, Niddrie VIC 3042, Australia",(03) 9379 5762,NULL,NULL
Yellow River Chinese Medicine Clinic,Ascot Vale,-37.6365261,144.9217578,"14 Haite Pl, Roxburgh Park VIC 3064, Australia",(03) 9308 6081,NULL,NULL
Naturewise Pty Ltd,Ascot Vale,-37.8009049,144.9006297,"6 Paisley St, Footscray VIC 3011, Australia",(03) 9689 1571,5,http://www.fcma.org.au/
Victor Dong's Bamboo Clinic,Ashburton,-37.8474298,145.0751833,"611 Camberwell Rd, Camberwell VIC 3124, Australia",(03) 9942 1399,3,NULL
BON Traditional Chinese Medicine (Acupuncture in Burwood East),Ashburton,-37.853195,145.158625,"279 Burwood Hwy, Melbourne VIC 3151, Australia",(03) 8838 2991,NULL,http://bontcm.com.au/
Modern Chinese Medicine Clinic,Ashburton,-37.8156878,145.2366035,"54 Pitt St, Ringwood VIC 3134, Australia",(03) 9879 4742,NULL,http://www.modernacupunctureclinic.com.au/
Wens Chinese Medical & Acupuncture Centre,Ashburton,-37.8184641,145.1240954,"962 Whitehorse Rd, Box Hill VIC 3128, Australia",(03) 9899 3066,5,NULL
Yamamoto Oriental Medicine,Ashburton,-37.846216,145.061083,"945 Toorak Rd, Camberwell VIC 3124, Australia",(03) 9889 9671,NULL,NULL
Meridian Health Acupuncture Clinic,Ashburton,-37.916012,145.074969,"74 Mackie Rd, Bentleigh East VIC 3165, Australia",1300 886 668,5,http://www.meridian-health.com.au/
New Leaf Chinese Medicine,Ashburton,-37.917715,145.033469,"283 Centre Rd, Bentleigh VIC 3204, Australia",0403 014 859,5,http://www.newleafcm.com.au/
Abbie Cloherty Traditional Chinese Medicine Acupuncture,Ashwood,-37.814112,145.131769,"80 Dorking Rd, Box Hill North VIC 3129, Australia",(03) 9890 4439,NULL,http://abbiecloherty.com/
Eureka Traditional Chinese Healing,Ashwood,-37.8122768,145.1938771,"1 Burnett St, Mitcham VIC 3132, Australia",0432 250 138,NULL,http://www.eurekatch.webs.com/
Dr John Acupuncture Chinese Medicine,Ashwood,-37.833614,145.205233,"569 Canterbury Road, Vermont VIC 3133, Australia",(03) 9884 8889,5,http://www.lifecareacupuncture.com.au/
Maru Chinese Medicine-Marchment Robin,Ashwood,-37.8232101,145.097447,"104 / 160 Union Rd, Surrey Hills VIC 3127, Australia",(03) 9878 2133,5,http://www.robinmarchment.com.au/
Professor Wang's Chinese Natural Healing Centre,Ashwood,-37.8516853,145.1899052,"123 Terrara Rd, Vermont South VIC 3133, Australia",(03) 9801 5745,5,NULL
Absolute Nature's way-Acupuncture Clinic,Balwyn,-37.7852059,145.1063705,"35 High St, Doncaster VIC 3108, Australia",(03) 9849 0215,4.8,http://absolutenaturesway.com.au/
Oriental Health Camberwell Chinese Medicine Centre,Balwyn,-37.8290872,145.0569222,"797A Burke Rd, Camberwell VIC 3124, Australia",0455 965 888,5,http://www.ohcbw.com/
Traditional Chinese Medicine & Pain Treatment Clinic,Balwyn,-37.827484,145.122419,"430 Station St, Box Hill South VIC 3128, Australia",(03) 9890 2369,5,http://relieve-pain.com.au/
Dr John Acupuncture Chinese Medicine,Balwyn,-37.700202,145.063168,"518 Grimshaw St, Bundoora VIC 3083, Australia",(03) 9884 8889,5,http://lifecareacupuncture.com.au/bundoora-acupuncture/
The Acupuncture and Wellness Centre,Balwyn,-37.781797,145.109329,"3109, 19 Village Ave, Doncaster VIC 3108, Australia",(03) 9857 7996,5,http://www.tawc.com.au/
Doncaster Massage Clinic,Balwyn North,-37.76257,145.122157,"7 Sinclair Ave, Templestowe Lower VIC 3107, Australia",NULL,NULL,NULL
Wayne's Chinese Medicine,Balwyn North,-37.763666,145.164637,"5 Dickens Cl, Templestowe VIC 3106, Australia",0403 171 859,4.9,http://www.waynechung.com.au/
Heathmont Chinese Medicine,Bayswater,-37.827642,145.246209,"2/103 Canterbury Rd, Heathmont VIC 3135, Australia",(03) 9729 9333,4.4,http://www.heathmontchinesemedicine.com.au/
Healthy Life Clinic,Bayswater,-37.8613773,145.2872843,"91 Dorset Square, Boronia VIC 3155, Australia",(03) 9758 8166,NULL,NULL
Knox Chinese Healing & Myotherapy,Bayswater,-37.8637802,145.2384425,"285 Stud Rd, Wantirna South VIC 3152, Australia",(03) 9800 3969,5,http://www.knoxchinesemedicine.com.au/
Acupuncture Clinic,Bayswater,-37.8660284,145.2371946,"309 Stud Rd, Wantirna South VIC 3152, Australia",(03) 9887 0566,NULL,http://yolandlim.com.au/
VIC China Acupuncture & Traditional Chinese Medical Centre,Bayswater,-37.988529,145.218758,"166 Foster St, Dandenong VIC 3175, Australia",(03) 9706 9486,NULL,NULL
Natural Pain Solutions Australia,Bayswater,-37.817316,145.224605,"6 Murray Pl, Ringwood VIC 3134, Australia",(03) 9876 8786,4.9,https://www.naturalpainsolutions.com.au/
Pain Management Clinic,Bayswater,-37.833614,145.2052325,"569 Canterbury Rd, Vermont VIC 3133, Australia",(03) 9884 8889,NULL,http://lifecareacupuncture.com.au/services/pain-management/
Warrandyte Traditional Chinese Medicine,Bayswater,-37.743954,145.206644,"19 Taroona Ave, Warrandyte VIC 3113, Australia",(03) 9844 0783,NULL,NULL
Full Circle - Chinese Medicine,Bayswater,-37.902242,145.354658,"11 Eric St, Belgrave VIC 3160, Australia",0400 820 520,NULL,http://gofullcircle.com.au/
Diamond Creek Acupuncture & Chinese Medicine Clinic,Bayswater,-37.674714,145.161679,"94 Main Hurstbridge Rd, Diamond Creek VIC 3098, Australia",0410 178 459,NULL,https://sites.google.com/view/diamondcreekacupuncture
Utaki - Traditional Chinese Medicine,Bayswater,-37.737321,145.22333,"246 Yarra St, Warrandyte VIC 3113, Australia",(03) 9844 1551,NULL,http://www.utaki.com.au/
Whittlesea Chinese Medicine Clinic,Bayswater,-37.5123248,145.1185914,"27 Walnut St, Whittlesea VIC 3757, Australia",0408 349 392,NULL,http://www.wcmclinic.weebly.com/
Boronia Chinese Massage,Bayswater,-37.8601322,145.2873257,"Shop 11a/50 Dorset Square, Boronia VIC 3155, Australia",(03) 9761 1618,2,NULL
Chiang Au-Yeung Chinese Herbal Acupuncture Centre,Bayswater,-37.9478379,145.1533442,"259 Springvale Rd, Springvale VIC 3171, Australia",(03) 9546 7886,5,NULL
Holistic Body Health Care Clinic,Bayswater,-37.908003,145.188432,"177 Jells Rd, Wheelers Hill VIC 3150, Australia",(03) 9561 2201,NULL,http://www.wholisticbodyhealthcare.com.au/aboutus.aspx
Be Good 2 Urself Chinese Medicine,Bayswater,-37.7202897,145.1381172,"6/266 Bolton St, Eltham VIC 3095, Australia",0417 325 393,NULL,NULL
Sattva Natural Therapies,Bentleigh,-37.930311,145.028162,"20 Dumaresq St, Brighton East VIC 3187, Australia",(03) 9557 3525,NULL,http://www.sattvanaturaltherapies.com.au/
Balance Complementary Medicine,Bentleigh,-37.956471,145.051857,"2/1225 Nepean Hwy, Highett VIC 3190, Australia",(03) 9585 6635,5,https://www.balancemed.com.au/
Jasper Family Medical Practice,Bentleigh,-37.918468,145.040586,"449 Centre Rd, Bentleigh VIC 3204, Australia",(03) 9563 9411,4.1,http://www.jasperfamilymedical.com.au/
Paul Chen,Bentleigh,-37.9204158,145.0589634,"173 E Boundary Rd, Bentleigh East VIC 3165, Australia",(03) 9570 8382,5,NULL
Southland Chiropractic Clinic,Bentleigh East,-37.9486812,145.0451457,"1106 Nepean Hwy, Highett VIC 3190, Australia",(03) 9555 6678,NULL,NULL
Medifirst Family Clinic,Bentleigh East,-37.928129,145.116975,"1381 Centre Rd, Clayton VIC 3168, Australia",(03) 9544 2658,4.6,http://www.medifirst.com.au/
Traditional Healing Acupuncture Clinic,Berwick,-38.042281,145.34619,"1/50 Kangan Dr, Berwick VIC 3806, Australia",(03) 9796 2388,4.5,http://www.traditionalacupuncture.com.au/
Casey Allied Health-Acupuncture,Berwick,-38.0428909,145.3456246,"13/54 Kangan Dr, Berwick VIC 3806, Australia",(03) 8774 9600,NULL,http://www.caseyalliedhealth.com.au/services/acupuncture/
Berwick Acupuncture Centre,Berwick,-38.026286,145.350412,"18 Lyall Rd, Berwick VIC 3806, Australia",(03) 9769 7651,NULL,NULL
Balance Acupuncture,Berwick,-38.0141585,145.3322205,"22 Sittella Dr, Berwick VIC 3806, Australia",0413 647 445,5,http://www.balanceacupuncture.com.au/
CEND ORIENTAL CLINIC,Berwick,-38.132653,145.2323679,"630 Cranbourne - Frankston Rd, Cranbourne South VIC 3977, Australia",(03) 8790 8770,NULL,http://www.cendorientalclinic.com.au/
Evergreen Chinese Medical Centre,Berwick,-38.153574,145.14361,"71 Hillcrest Rd, Frankston VIC 3199, Australia",(03) 9785 6688,4.4,https://evergreencmc.com.au/
Brett Leo at Gateway To Vitality,Berwick,-38.053591,145.341989,"46 St Boswells Ave, Berwick VIC 3806, Australia",(03) 8786 8674,NULL,NULL
Lin's Chinese Acupuncture Centre,Berwick,-37.948009,145.153396,"265 Springvale Rd, Springvale VIC 3171, Australia",(03) 9547 8154,NULL,NULL
Chelsea Chinese Medicine Acupuncture Clinic (Appointment Only),Berwick,-38.049401,145.116363,"1/5 Swan Walk, Chelsea VIC 3196, Australia",(03) 9772 8186,5,http://jhmedicine.com.au/
Quiwen LI Chinese Medicine Centre,Berwick,-38.0053755,145.0863397,"3/463 Main St, Mordialloc VIC 3195, Australia",(03) 9588 2186,NULL,NULL
Box Hill Family Clinic,Blackburn,-37.8202173,145.1259348,"36 Rutland Rd, Box Hill VIC 3128, Australia",(03) 9899 4570,3.4,http://www.bhclinic.com.au/
Dental Care Today,Blackburn,-37.8336838,145.1618468,"244 Canterbury Rd, Forest Hill VIC 3131, Australia",(03) 9894 2233,5,http://www.dentalcaretoday.com.au/
Box Hill Medical Centre,Blackburn,-37.8217414,145.1235316,"528 Station St, Box Hill VIC 3128, Australia",(03) 9890 1024,3.1,http://www.bhmc.com.au/
Kingsway Medical Clinic,Blackburn South,-37.8810053,145.1612834,"5/40-42 Montclair Ave, Glen Waverley VIC 3150, Australia",(03) 9560 7366,4.3,http://www.kingswaymedicalclinic.com.au/
Hills Physiotherapy and Muscular Health,Boronia,-37.8948698,145.2492711,"3/1565 Ferntree Gully Rd, Knoxfield VIC 3180, Australia",(03) 9753 2507,NULL,http://hillsphysiotherapy.com.au/knox/
Max Therapy,Boronia,-37.8677567,145.2384671,"1001/425 Burwood Hwy, Wantirna South VIC 3152, Australia",(03) 9801 0911,2.7,http://www.maxtherapy.com.au/locations/
