Year,Suburb,Buy Price
2007,ASHWOOD,573000
2008,ASHWOOD,607500
2009,ASHWOOD,640000
2010,ASHWOOD,760000
2011,ASHWOOD,750000
2012,ASHWOOD,681000
2013,ASHWOOD,775000
2014,ASHWOOD,884000
2015,ASHWOOD,1140000
2016,ASHWOOD,1230000
2017,ASHWOOD,1410000
2007,ASPENDALE,500000
2008,ASPENDALE,507500
2009,ASPENDALE,547500
2010,ASPENDALE,637500
2011,ASPENDALE,630000
2012,ASPENDALE,610000
2013,ASPENDALE,620000
2014,ASPENDALE,690000
2015,ASPENDALE,791000
2016,ASPENDALE,890000
2017,ASPENDALE,1122500
2007,ASPENDALE GARDENS,435000
2008,ASPENDALE GARDENS,475000
2009,ASPENDALE GARDENS,498500
2010,ASPENDALE GARDENS,581000
2011,ASPENDALE GARDENS,550000
2012,ASPENDALE GARDENS,552000
2013,ASPENDALE GARDENS,586500
2014,ASPENDALE GARDENS,632000
2015,ASPENDALE GARDENS,715000
2016,ASPENDALE GARDENS,775000
2017,ASPENDALE GARDENS,877500
2007,ATTWOOD,365000
2008,ATTWOOD,440000
2009,ATTWOOD,485000
2010,ATTWOOD,576000
2011,ATTWOOD,592000
2012,ATTWOOD,500000
2013,ATTWOOD,540000
2014,ATTWOOD,515000
2015,ATTWOOD,620000
2016,ATTWOOD,660000
2017,ATTWOOD,740000
2007,AVENEL,206000
2008,AVENEL,172500
2009,AVENEL,212500
2010,AVENEL,268500
2011,AVENEL,221500
2012,AVENEL,230500
2013,AVENEL,231000
2014,AVENEL,302000
2015,AVENEL,245000
2016,AVENEL,247000
2017,AVENEL,340000
2007,AVOCA,134000
2008,AVOCA,167000
2009,AVOCA,133000
2010,AVOCA,144000
2011,AVOCA,151000
2012,AVOCA,181500
2013,AVOCA,182500
2014,AVOCA,174500
2015,AVOCA,182500
2016,AVOCA,164000
2017,AVOCA,212500
2007,AVONDALE HEIGHTS,367500
2008,AVONDALE HEIGHTS,440000
2009,AVONDALE HEIGHTS,460000
2010,AVONDALE HEIGHTS,576000
2011,AVONDALE HEIGHTS,538000
2012,AVONDALE HEIGHTS,536000
2013,AVONDALE HEIGHTS,532500
2014,AVONDALE HEIGHTS,560000
2015,AVONDALE HEIGHTS,650000
2016,AVONDALE HEIGHTS,753000
2017,AVONDALE HEIGHTS,850000
2007,AVONSLEIGH,255000
2008,AVONSLEIGH,318000
2009,AVONSLEIGH,309000
2010,AVONSLEIGH,321500
2011,AVONSLEIGH,385500
2012,AVONSLEIGH,345000
2013,AVONSLEIGH,420000
2014,AVONSLEIGH,355000
2015,AVONSLEIGH,397500
2016,AVONSLEIGH,501000
2017,AVONSLEIGH,562000
2007,BACCHUS MARSH,248000
2008,BACCHUS MARSH,255000
2009,BACCHUS MARSH,279000
2010,BACCHUS MARSH,305000
2011,BACCHUS MARSH,330000
2012,BACCHUS MARSH,325000
2013,BACCHUS MARSH,335500
2014,BACCHUS MARSH,348000
2015,BACCHUS MARSH,355000
2016,BACCHUS MARSH,376000
2017,BACCHUS MARSH,415500
2007,BADGER CREEK,234500
2008,BADGER CREEK,234500
2009,BADGER CREEK,266500
2010,BADGER CREEK,295000
2011,BADGER CREEK,295000
2012,BADGER CREEK,295000
2013,BADGER CREEK,315000
2014,BADGER CREEK,325000
2015,BADGER CREEK,345000
2016,BADGER CREEK,379000
2017,BADGER CREEK,465000
2007,BAIRNSDALE,208000
2008,BAIRNSDALE,210000
2009,BAIRNSDALE,218000
2010,BAIRNSDALE,230000
2011,BAIRNSDALE,235000
2012,BAIRNSDALE,231000
2013,BAIRNSDALE,235000
2014,BAIRNSDALE,244000
2015,BAIRNSDALE,247500
2016,BAIRNSDALE,255000
2017,BAIRNSDALE,270000
2007,BALACLAVA,705000
2008,BALACLAVA,782500
2009,BALACLAVA,750000
2010,BALACLAVA,916000
2011,BALACLAVA,793500
2012,BALACLAVA,717500
2013,BALACLAVA,860500
2014,BALACLAVA,942000
2015,BALACLAVA,1062000
2016,BALACLAVA,1242500
2017,BALACLAVA,1390000
2007,BALCOMBE,476500
2008,BALCOMBE,519000
2009,BALCOMBE,539000
2010,BALCOMBE,655000
2011,BALCOMBE,718500
2012,BALCOMBE,686000
2013,BALCOMBE,712500
2014,BALCOMBE,737000
2015,BALCOMBE,871000
2016,BALCOMBE,950000
2017,BALCOMBE,1100000
2007,BALLAN,203500
2008,BALLAN,220000
2009,BALLAN,250000
2010,BALLAN,260000
2011,BALLAN,310000
2012,BALLAN,305000
2013,BALLAN,352000
2014,BALLAN,330000
2015,BALLAN,362000
2016,BALLAN,363500
2017,BALLAN,414000
2007,BALLARAT CENTRAL,235000
2008,BALLARAT CENTRAL,240000
2009,BALLARAT CENTRAL,251000
2010,BALLARAT CENTRAL,280000
2011,BALLARAT CENTRAL,320000
2012,BALLARAT CENTRAL,313500
2013,BALLARAT CENTRAL,322000
2014,BALLARAT CENTRAL,327500
2015,BALLARAT CENTRAL,351500
2016,BALLARAT CENTRAL,385000
2017,BALLARAT CENTRAL,430000
2007,BALLARAT EAST,190000
2008,BALLARAT EAST,195000
2009,BALLARAT EAST,205000
2010,BALLARAT EAST,225000
2011,BALLARAT EAST,245000
2012,BALLARAT EAST,255000
2013,BALLARAT EAST,265000
2014,BALLARAT EAST,265000
2015,BALLARAT EAST,275000
2016,BALLARAT EAST,295000
2017,BALLARAT EAST,309500
2007,BALLARAT NORTH,222000
2008,BALLARAT NORTH,215000
2009,BALLARAT NORTH,230000
2010,BALLARAT NORTH,272000
2011,BALLARAT NORTH,275000
2012,BALLARAT NORTH,280000
2013,BALLARAT NORTH,296000
2014,BALLARAT NORTH,312000
2015,BALLARAT NORTH,315000
2016,BALLARAT NORTH,340000
2017,BALLARAT NORTH,346500
2007,BALNARRING,332500
2008,BALNARRING,385500
2009,BALNARRING,388500
2010,BALNARRING,480000
2011,BALNARRING,472500
2012,BALNARRING,501500
2013,BALNARRING,525000
2014,BALNARRING,544000
2015,BALNARRING,595000
2016,BALNARRING,670000
2017,BALNARRING,815000
2007,BALNARRING BEACH,635000
2008,BALNARRING BEACH,709000
2009,BALNARRING BEACH,710000
2010,BALNARRING BEACH,787500
2011,BALNARRING BEACH,630000
2012,BALNARRING BEACH,660000
2013,BALNARRING BEACH,750000
2014,BALNARRING BEACH,700000
2015,BALNARRING BEACH,887500
2016,BALNARRING BEACH,904000
2017,BALNARRING BEACH,890000
2007,BALWYN,1101000
2008,BALWYN,1170000
2009,BALWYN,1279500
2010,BALWYN,1450000
2011,BALWYN,1363000
2012,BALWYN,1295000
2013,BALWYN,1530000
2014,BALWYN,1780000
2015,BALWYN,2207500
2016,BALWYN,2170000
2017,BALWYN,2360000
2007,BALWYN NORTH,896000
2008,BALWYN NORTH,900000
2009,BALWYN NORTH,981000
2010,BALWYN NORTH,1141000
2011,BALWYN NORTH,1100000
2012,BALWYN NORTH,997500
2013,BALWYN NORTH,1240000
2014,BALWYN NORTH,1452000
2015,BALWYN NORTH,1850000
2016,BALWYN NORTH,1799500
2017,BALWYN NORTH,1950000
2007,BANNOCKBURN,276500
2008,BANNOCKBURN,287000
2009,BANNOCKBURN,305000
2010,BANNOCKBURN,342500
2011,BANNOCKBURN,378000
2012,BANNOCKBURN,351500
2013,BANNOCKBURN,370000
2014,BANNOCKBURN,405000
2015,BANNOCKBURN,389000
2016,BANNOCKBURN,382000
2017,BANNOCKBURN,430000
2007,BARANDUDA,292000
2008,BARANDUDA,327000
2009,BARANDUDA,312000
2010,BARANDUDA,353000
2011,BARANDUDA,340000
2012,BARANDUDA,340000
2013,BARANDUDA,345000
2014,BARANDUDA,330000
2015,BARANDUDA,323000
2016,BARANDUDA,357500
2017,BARANDUDA,350000
2007,BARNAWARTHA,217000
2008,BARNAWARTHA,189500
2009,BARNAWARTHA,191500
2010,BARNAWARTHA,169000
2011,BARNAWARTHA,220000
2012,BARNAWARTHA,222000
2013,BARNAWARTHA,245000
2014,BARNAWARTHA,220000
2015,BARNAWARTHA,305000
2016,BARNAWARTHA,245000
2017,BARNAWARTHA,312000
2007,BARWON HEADS,463000
2008,BARWON HEADS,480000
2009,BARWON HEADS,505000
2010,BARWON HEADS,615500
2011,BARWON HEADS,607500
2012,BARWON HEADS,632500
2013,BARWON HEADS,742500
2014,BARWON HEADS,715000
2015,BARWON HEADS,773000
2016,BARWON HEADS,842500
2017,BARWON HEADS,930500
2007,BAXTER,226000
2008,BAXTER,251000
2009,BAXTER,282500
2010,BAXTER,317000
2011,BAXTER,320000
2012,BAXTER,315000
2013,BAXTER,330500
2014,BAXTER,325000
2015,BAXTER,340000
2016,BAXTER,403000
2017,BAXTER,530000
2007,BAYSWATER,330000
2008,BAYSWATER,350000
2009,BAYSWATER,372000
2010,BAYSWATER,453500
2011,BAYSWATER,447500
2012,BAYSWATER,427500
2013,BAYSWATER,458500
2014,BAYSWATER,525000
2015,BAYSWATER,632500
2016,BAYSWATER,691000
2017,BAYSWATER,805500
2007,BAYSWATER NORTH,330500
2008,BAYSWATER NORTH,350000
2009,BAYSWATER NORTH,371500
2010,BAYSWATER NORTH,450000
2011,BAYSWATER NORTH,437000
2012,BAYSWATER NORTH,426500
2013,BAYSWATER NORTH,468500
2014,BAYSWATER NORTH,490000
2015,BAYSWATER NORTH,575000
2016,BAYSWATER NORTH,630000
2017,BAYSWATER NORTH,735000
2007,BEACONSFIELD,360000
2008,BEACONSFIELD,380000
2009,BEACONSFIELD,417500
2010,BEACONSFIELD,460000
2011,BEACONSFIELD,505000
2012,BEACONSFIELD,511500
2013,BEACONSFIELD,486000
2014,BEACONSFIELD,525000
2015,BEACONSFIELD,559000
2016,BEACONSFIELD,585000
2017,BEACONSFIELD,700000
2007,BEACONSFIELD UPPER,405000
2008,BEACONSFIELD UPPER,360000
2009,BEACONSFIELD UPPER,373500
2010,BEACONSFIELD UPPER,472000
2011,BEACONSFIELD UPPER,437500
2012,BEACONSFIELD UPPER,535000
2013,BEACONSFIELD UPPER,470000
2014,BEACONSFIELD UPPER,507500
2015,BEACONSFIELD UPPER,602500
2016,BEACONSFIELD UPPER,646000
2017,BEACONSFIELD UPPER,693000
2007,BEAUFORT,154000
2008,BEAUFORT,147500
2009,BEAUFORT,167500
2010,BEAUFORT,174500
2011,BEAUFORT,142500
2012,BEAUFORT,186000
2013,BEAUFORT,186000
2014,BEAUFORT,220000
2015,BEAUFORT,205000
2016,BEAUFORT,240000
2017,BEAUFORT,220000
2007,BEAUMARIS,900000
2008,BEAUMARIS,950000
2009,BEAUMARIS,918500
2010,BEAUMARIS,1107500
2011,BEAUMARIS,1050000
2012,BEAUMARIS,997000
2013,BEAUMARIS,1074000
2014,BEAUMARIS,1129500
2015,BEAUMARIS,1340000
2016,BEAUMARIS,1455500
2017,BEAUMARIS,1600000
2007,BEECHWORTH,315000
2008,BEECHWORTH,264000
2009,BEECHWORTH,255000
2010,BEECHWORTH,310500
2011,BEECHWORTH,320000
2012,BEECHWORTH,305000
2013,BEECHWORTH,295000
2014,BEECHWORTH,295000
2015,BEECHWORTH,325000
2016,BEECHWORTH,345000
2017,BEECHWORTH,397000
2007,BELGRAVE,307500
2008,BELGRAVE,334000
2009,BELGRAVE,370000
2010,BELGRAVE,380000
2011,BELGRAVE,375000
2012,BELGRAVE,390000
2013,BELGRAVE,410000
2014,BELGRAVE,426000
2015,BELGRAVE,482500
2016,BELGRAVE,543000
2017,BELGRAVE,620000
2007,BELGRAVE HEIGHTS,335000
2008,BELGRAVE HEIGHTS,337500
2009,BELGRAVE HEIGHTS,363500
2010,BELGRAVE HEIGHTS,425000
2011,BELGRAVE HEIGHTS,382000
2012,BELGRAVE HEIGHTS,399000
2013,BELGRAVE HEIGHTS,430000
2014,BELGRAVE HEIGHTS,480000
2015,BELGRAVE HEIGHTS,590500
2016,BELGRAVE HEIGHTS,624000
2017,BELGRAVE HEIGHTS,687500
2007,BELGRAVE SOUTH,367500
2008,BELGRAVE SOUTH,369000
2009,BELGRAVE SOUTH,340000
2010,BELGRAVE SOUTH,490000
2011,BELGRAVE SOUTH,475000
2012,BELGRAVE SOUTH,447500
2013,BELGRAVE SOUTH,548000
2014,BELGRAVE SOUTH,541000
2015,BELGRAVE SOUTH,555500
2016,BELGRAVE SOUTH,565000
2017,BELGRAVE SOUTH,689000
2007,BELL PARK,225000
2008,BELL PARK,236000
2009,BELL PARK,257500
2010,BELL PARK,290000
2011,BELL PARK,314000
2012,BELL PARK,291000
2013,BELL PARK,314000
2014,BELL PARK,323500
2015,BELL PARK,340000
2016,BELL PARK,360000
2017,BELL PARK,405000
2007,BELL POST HILL,250500
2008,BELL POST HILL,245000
2009,BELL POST HILL,273500
2010,BELL POST HILL,310000
2011,BELL POST HILL,320000
2012,BELL POST HILL,328000
2013,BELL POST HILL,328000
2014,BELL POST HILL,333500
2015,BELL POST HILL,341000
2016,BELL POST HILL,355000
2017,BELL POST HILL,436000
2007,BELLFIELD (BANYULE),373500
2008,BELLFIELD (BANYULE),408000
2009,BELLFIELD (BANYULE),459500
2010,BELLFIELD (BANYULE),575000
2011,BELLFIELD (BANYULE),550500
2012,BELLFIELD (BANYULE),510000
2013,BELLFIELD (BANYULE),500500
2014,BELLFIELD (BANYULE),595000
2015,BELLFIELD (BANYULE),700000
2016,BELLFIELD (BANYULE),780000
2017,BELLFIELD (BANYULE),886000
2007,BELMONT,260500
2008,BELMONT,265000
2009,BELMONT,288000
2010,BELMONT,338000
2011,BELMONT,345000
2012,BELMONT,350000
2013,BELMONT,360000
2014,BELMONT,362000
2015,BELMONT,395000
2016,BELMONT,430000
2017,BELMONT,495000
2007,BENALLA,203000
2008,BENALLA,210000
2009,BENALLA,210000
2010,BENALLA,220000
2011,BENALLA,225000
2012,BENALLA,218000
2013,BENALLA,228000
2014,BENALLA,235500
2015,BENALLA,222500
2016,BENALLA,231500
2017,BENALLA,250000
2007,BENDIGO,250000
2008,BENDIGO,232000
2009,BENDIGO,235000
2010,BENDIGO,295000
2011,BENDIGO,290000
2012,BENDIGO,335000
2013,BENDIGO,340000
2014,BENDIGO,376500
2015,BENDIGO,372000
2016,BENDIGO,400000
2017,BENDIGO,397500
2007,BENTLEIGH,720000
2008,BENTLEIGH,720000
2009,BENTLEIGH,745000
2010,BENTLEIGH,910000
2011,BENTLEIGH,882000
2012,BENTLEIGH,820000
2013,BENTLEIGH,900000
2014,BENTLEIGH,1050000
2015,BENTLEIGH,1245000
2016,BENTLEIGH,1380000
2017,BENTLEIGH,1450000
2007,BENTLEIGH EAST,570000
2008,BENTLEIGH EAST,600000
2009,BENTLEIGH EAST,639500
2010,BENTLEIGH EAST,760000
2011,BENTLEIGH EAST,720000
2012,BENTLEIGH EAST,680000
2013,BENTLEIGH EAST,750000
2014,BENTLEIGH EAST,850000
2015,BENTLEIGH EAST,1000000
2016,BENTLEIGH EAST,1115000
2017,BENTLEIGH EAST,1260000
2007,BERWICK,330000
2008,BERWICK,350000
2009,BERWICK,382000
2010,BERWICK,450000
2011,BERWICK,440000
2012,BERWICK,450500
2013,BERWICK,453000
2014,BERWICK,487500
2015,BERWICK,535000
2016,BERWICK,584500
2017,BERWICK,672500
2007,BEVERIDGE,266500
2008,BEVERIDGE,266500
2009,BEVERIDGE,266500
2010,BEVERIDGE,522500
2011,BEVERIDGE,416500
2012,BEVERIDGE,412500
2013,BEVERIDGE,396000
2014,BEVERIDGE,351500
2015,BEVERIDGE,400000
2016,BEVERIDGE,430000
2017,BEVERIDGE,496000
2007,BIRCHIP,50000
2008,BIRCHIP,80000
2009,BIRCHIP,62000
2010,BIRCHIP,67500
2011,BIRCHIP,77000
2012,BIRCHIP,87500
2013,BIRCHIP,120000
2014,BIRCHIP,90000
2015,BIRCHIP,121500
2016,BIRCHIP,55000
2017,BIRCHIP,100000
2007,BIRREGURRA,209000
2008,BIRREGURRA,246500
2009,BIRREGURRA,250000
2010,BIRREGURRA,230000
2011,BIRREGURRA,260000
2012,BIRREGURRA,274000
2013,BIRREGURRA,255000
2014,BIRREGURRA,337500
2015,BIRREGURRA,302500
2016,BIRREGURRA,349000
2017,BIRREGURRA,382500
2007,BITTERN,267000
2008,BITTERN,285000
2009,BITTERN,304000
2010,BITTERN,352000
2011,BITTERN,365000
2012,BITTERN,387000
2013,BITTERN,402000
2014,BITTERN,390000
2015,BITTERN,382500
2016,BITTERN,463000
2017,BITTERN,527500
2007,BLACK HILL,204000
2008,BLACK HILL,213500
2009,BLACK HILL,242000
2010,BLACK HILL,263500
2011,BLACK HILL,292000
2012,BLACK HILL,260000
2013,BLACK HILL,283500
2014,BLACK HILL,321500
2015,BLACK HILL,293000
2016,BLACK HILL,315000
2017,BLACK HILL,370000
2007,BLACK ROCK,1050000
2008,BLACK ROCK,1042500
2009,BLACK ROCK,1251500
2010,BLACK ROCK,1390000
2011,BLACK ROCK,1237500
2012,BLACK ROCK,1175000
2013,BLACK ROCK,1225000
2014,BLACK ROCK,1400000
2015,BLACK ROCK,1545000
2016,BLACK ROCK,1737500
2017,BLACK ROCK,2000000
2007,BLACKBURN,628000
2008,BLACKBURN,608000
2009,BLACKBURN,700500
2010,BLACKBURN,850000
2011,BLACKBURN,786000
2012,BLACKBURN,750000
2013,BLACKBURN,860000
2014,BLACKBURN,936000
2015,BLACKBURN,1201000
2016,BLACKBURN,1240500
2017,BLACKBURN,1410000
2007,BLACKBURN NORTH,495000
2008,BLACKBURN NORTH,499000
2009,BLACKBURN NORTH,540000
2010,BLACKBURN NORTH,659000
2011,BLACKBURN NORTH,617000
2012,BLACKBURN NORTH,609000
2013,BLACKBURN NORTH,692000
2014,BLACKBURN NORTH,790000
2015,BLACKBURN NORTH,921000
2016,BLACKBURN NORTH,1038500
2017,BLACKBURN NORTH,1140000
2007,BLACKBURN SOUTH,495000
2008,BLACKBURN SOUTH,510500
2009,BLACKBURN SOUTH,547000
2010,BLACKBURN SOUTH,670000
2011,BLACKBURN SOUTH,636500
2012,BLACKBURN SOUTH,632000
2013,BLACKBURN SOUTH,700000
2014,BLACKBURN SOUTH,780000
2015,BLACKBURN SOUTH,920500
2016,BLACKBURN SOUTH,1050000
2017,BLACKBURN SOUTH,1188000
2007,BLACKWOOD,195000
2008,BLACKWOOD,220000
2009,BLACKWOOD,261500
2010,BLACKWOOD,260000
2011,BLACKWOOD,263000
2012,BLACKWOOD,245000
2013,BLACKWOOD,310000
2014,BLACKWOOD,266000
2015,BLACKWOOD,260000
2016,BLACKWOOD,291000
2017,BLACKWOOD,403000
2007,BLAIRGOWRIE,440000
2008,BLAIRGOWRIE,464000
2009,BLAIRGOWRIE,520000
2010,BLAIRGOWRIE,625000
2011,BLAIRGOWRIE,600000
2012,BLAIRGOWRIE,580000
2013,BLAIRGOWRIE,609000
2014,BLAIRGOWRIE,630000
2015,BLAIRGOWRIE,621500
2016,BLAIRGOWRIE,767500
2017,BLAIRGOWRIE,881000
2007,BLIND BIGHT,257000
2008,BLIND BIGHT,270000
2009,BLIND BIGHT,321000
2010,BLIND BIGHT,337500
2011,BLIND BIGHT,358000
2012,BLIND BIGHT,319000
2013,BLIND BIGHT,362500
2014,BLIND BIGHT,343000
2015,BLIND BIGHT,401000
2016,BLIND BIGHT,440000
2017,BLIND BIGHT,514000
2007,BONBEACH,444000
2008,BONBEACH,491000
2009,BONBEACH,502000
2010,BONBEACH,585000
2011,BONBEACH,557000
2012,BONBEACH,540000
2013,BONBEACH,580000
2014,BONBEACH,635000
2015,BONBEACH,700000
2016,BONBEACH,778000
2017,BONBEACH,882500
2007,BONNIE DOON,168000
2008,BONNIE DOON,147000
