,Address,Education_Sector,Phone_number,School_Name,School_Type,Suburb
29,"4-10 Nurlendi Road, Vermont VIC 3133",Government,03 9874 2511,Vermont Primary School,Primary,Vermont
30,"86B Balwyn Road, Balwyn VIC 3103",Government,03 9836 7121,Balwyn Primary School,Primary,Balwyn
31,"11 Ingrid Street, Scoresby VIC 3179",Government,03 9763 7484,Scoresby Primary School,Primary,Scoresby
32,"Peel Street, Kew VIC 3101",Government,03 9853 8325,Kew Primary School,Primary,Kew
33,"89a Cuthberts Road, Alfredton VIC 3350",Government,03 5334 1572,Alfredton Primary School,Primary,Alfredton
34,"10 - 20 Hodgins Road, Hastings VIC 3915",Government,03 5979 1517,Hastings Primary School,Primary,Hastings
35,"170 Glen Iris Road, Glen Iris VIC 3146",Government,03 9885 3624,Glen Iris Primary School,Primary,Glen Iris
36,"9 Warreen Street, Sebastopol VIC 3356",Government,03 5335 8157,Sebastopol Primary School,Primary,Sebastopol
37,"Bridport Street, Albert Park VIC 3206",Government,03 9699 9090,Albert Park Primary School,Primary,Albert Park
38,"Cecil Street, Williamstown VIC 3016",Government,03 9397 1248,Williamstown Primary School,Primary,Williamstown
39,"202 Simpson Street, Buninyong VIC 3357",Government,03 5341 3560,Buninyong Primary School,Primary,Buninyong
40,"185 Gold St, Clifton Hill VIC 3068",Government,03 9489 8333,Clifton Hill Primary School,Primary,Clifton Hill
41,"210 Errol Street, North Melbourne VIC 3051",Government,03 9329 6902,North Melbourne Primary School,Primary,North Melbourne
42,"174-182 Foster Street, Dandenong VIC 3175",Government,03 9792 2743,Dandenong Primary School,Primary,Dandenong
43,"133 Melbourne Road, Williamstown VIC 3016",Government,03 9397 5722,Williamstown North Primary School,Primary,Williamstown
44,"Davey Street, Frankston VIC 3199",Government,03 9783 3769,Frankston Primary School,Primary,Frankston
45,"2B Brighton Road, St Kilda VIC 3182",Government,03 9534 3993,St Kilda Primary School,Primary,St Kilda
46,"240 Tyler Street, Preston VIC 3072",Government,03 9470 1167,Preston Primary School,Primary,Preston
47,"78 - 98 Manningtree Road, Hawthorn VIC 3122",Government,03 9818 4338,Glenferrie Primary School,Primary,Hawthorn
48,"59 Wilson Street, Brighton VIC 3186",Government,03 9592 0177,Brighton Primary School,Primary,Brighton
49,"Golf Links Road, Barwon Heads VIC 3227",Government,03 5254 2324,Barwon Heads Primary School,Primary,Barwon Heads
50,"25 Kennedy Street, Keilor VIC 3036",Government,03 9336 7098,Keilor Primary School,Primary,Keilor
51,"20 Warrigal Road, Oakleigh VIC 3166",Government,03 9568 0558,Oakleigh Primary School,Primary,Oakleigh
52,"Spring Road, Malvern VIC 3144",Government,03 8823 9500,Malvern Central School,Primary,Malvern
53,"1224 Howitt Street, Wendouree VIC 3355",Government,03 5339 1229,Wendouree Primary School,Primary,Wendouree
54,"Lithgow Street, Abbotsford VIC 3067",Government,03 9428 5977,Abbotsford Primary School,Primary,Abbotsford
55,"Hornby Street, Windsor VIC 3181",Government,03 9521 3711,Windsor Primary School,Primary,Windsor
56,"10 Hyde Street, Footscray VIC 3011",Government,03 9687 2826,Footscray City Primary School,Primary,Footscray
57,"48 Blossom Park Drive, Mill Park VIC 3082",Government,03 9404 4311,Plenty Parklands Primary School,Primary,Mill Park
58,"Vale Street, Mornington VIC 3931",Government,03 5976 5500,Mornington Primary School,Primary,Mornington
59,"19 Windermere Crescent, Brighton VIC 3186",Government,03 9591 0888,Brighton Beach Primary School,Primary,Brighton
60,"270 Barker Street, Castlemaine VIC 3450",Government,03 5472 1391,Castlemaine North Primary School,Primary,Castlemaine
61,"130 Grimshaw Street, Greensborough VIC 3088",Government,03 9435 1496,Greensborough Primary School,Primary,Greensborough
62,"Bakewell Street, Cranbourne VIC 3977",Government,03 5996 1744,Cranbourne Primary School,Primary,Cranbourne
63,"2425-2435 Plenty Road, Whittlesea VIC 3757",Government,03 9716 2140,Whittlesea Primary School,Primary,Whittlesea
64,"44 Bowen Street, Warragul VIC 3820",Government,03 5623 2460,Warragul Primary School,Primary,Warragul
65,"40 Albert Street, Moe VIC 3825",Government,03 5127 1966,Moe (Albert Street) Primary School,Primary,Moe
66,"Birch Street, Bayswater VIC 3153",Government,03 9721 3755,Bayswater Primary School,Primary,Bayswater
67,"Gladeswood Drive, Mulgrave VIC 3170",Government,03 9795 2477,Mulgrave Primary School,Primary,Mulgrave
68,"Mccracken Street, Kensington VIC 3031",Government,03 9376 6013,Kensington Primary School,Primary,Kensington
69,"122 Waterdale Road, Ivanhoe VIC 3079",Government,03 9499 1880,Ivanhoe Primary School,Primary,Ivanhoe
70,"68 Fitzroy Street, St Kilda VIC 3182",Government,03 8598 6444,St Kilda Park Primary School,Primary,St Kilda
71,"215 Rathdowne Street, Carlton VIC 3053",Government,03 9663 6502,Carlton Gardens Primary School,Primary,Carlton
72,"Bank Street, Ascot Vale VIC 3032",Government,03 9370 6507,Ascot Vale Primary School,Primary,Ascot Vale
73,"9-23 Densham Road, Armadale VIC 3143",Government,03 9822 7003,Armadale Primary School,Primary,Armadale
74,"Langridge Street, Fairfield VIC 3078",Government,03 9489 2966,Fairfield Primary School,Primary,Fairfield
75,"2 Beatrice Avenue, Surrey Hills VIC 3127",Government,03 9890 1560,Surrey Hills Primary School,Primary,Surrey Hills
76,"100 Montague Street, South Melbourne VIC 3205",Government,03 9690 3535,Montague Continuing Education Centre,Special,South Melbourne
77,"194 Richardson Street, Middle Park VIC 3206",Government,03 9690 1336,Middle Park Primary School,Primary,Middle Park
78,"30 Powell Street, Yarraville VIC 3013",Government,03 9314 3816,Yarraville West Primary School,Primary,Yarraville
79,"157-163 Moreland Road, Coburg VIC 3058",Government,03 9386 2510,Moreland Primary School,Primary,Coburg
80,"Murphy Street, Brighton VIC 3186",Government,03 8534 6100,Elsternwick Primary School,Primary,Brighton
81,"51 Truganini Road, Carnegie VIC 3163",Government,03 9571 2662,Carnegie Primary School,Primary,Carnegie
82,"Cnr Kent Avenue & Croydon Road, Croydon VIC 3136",Government,03 9723 2472,Croydon Primary School,Primary,Croydon
83,"150 Athol Street, Moonee Ponds VIC 3039",Government,03 9370 6875,Moonee Ponds West Primary School,Primary,Moonee Ponds
84,"294 Mitcham Road, Mitcham VIC 3132",Government,03 9873 1551,Mitcham Primary School,Primary,Mitcham
85,"185 Surrey Road, Blackburn VIC 3130",Government,03 9878 1483,Blackburn Primary School,Primary,Blackburn
86,"415 Graham Street, Port Melbourne VIC 3207",Government,03 9646 1001,Port Melbourne Primary School,Primary,Port Melbourne
87,"6 Childers Street, Mentone VIC 3194",Government,03 9583 2995,Mentone Primary School,Primary,Mentone
88,"39 West Esplanade, St Albans VIC 3021",Government,03 9366 2832,St Albans Primary School,Primary,St Albans
89,"Canterbury Road, Toorak VIC 3142",Government,03 9827 2959,Toorak Primary School,Primary,Toorak
90,"362 Gaffney Street, Pascoe Vale VIC 3044",Government,03 9354 1611,Pascoe Vale Primary School,Primary,Pascoe Vale
91,"1 - 23 Draper Street, Ocean Grove VIC 3226",Government,03 5255 1340,Ocean Grove Primary School,Primary,Ocean Grove
92,"Wales Street, Thornbury VIC 3071",Government,03 9484 3949,Wales Street Primary School,Primary,Thornbury
93,"193 Spensley Street, Clifton Hill VIC 3068",Government,03 9481 4666,Spensley Street Primary School,Primary,Clifton Hill
94,"45-55 Grossmans Road, Torquay VIC 3228",Government,03 5261 2360,Torquay P-6 College,Primary,Torquay
95,"37-45 Park Lane, Mount Waverley VIC 3149",Government,03 9807 1480,Mount Waverley Primary School,Primary,Mount Waverley
96,"Hobart Road, Murrumbeena VIC 3163",Government,03 9568 1300,Murrumbeena Primary School,Primary,Murrumbeena
97,"1 Sylvester Grove, Preston VIC 3072",Government,03 9478 8895,Yarra Me School,Special,Preston
98,"39-49 Community Hub, Sydenham VIC 3037",Government,03 9361 5300,Sydenham - Hillside Primary School,Primary,Sydenham
99,"Molesworth Street, Canterbury VIC 3126",Government,03 9836 4537,Canterbury Primary School,Primary,Canterbury
100,"Lorne Street, Fawkner VIC 3060",Government,03 9357 3579,Fawkner Primary School,Primary,Fawkner
101,"Yarralea Street, Alphington VIC 3078",Government,03 9499 2200,Alphington Primary School,Primary,Alphington
102,"145 Studley Road, Heidelberg VIC 3084",Government,03 9496 5324,Austin Hospital School,Special,Heidelberg
103,"90 Cadles Road, Carrum Downs VIC 3201",Government,03 9782 1333,Banyan Fields Primary School,Primary,Carrum Downs
104,"146 Settlement Road, Bundoora VIC 3083",Government,03 9467 2206,Norris Bank Primary School,Primary,Bundoora
105,"Melbourne Road, Spotswood VIC 3015",Government,03 9391 1323,Spotswood Primary School,Primary,Spotswood
106,"65 Buckley Street, Noble Park VIC 3174",Government,03 9546 8811,Noble Park Primary School,Primary,Noble Park
107,"120 Mountain Highway, Wantirna VIC 3152",Government,03 9801 1938,Wantirna Primary School,Primary,Wantirna
108,"34-44 Argyle Ave, Chelsea VIC 3196",Government,03 9773 2055,Chelsea Primary School,Primary,Chelsea
109,"370 Victoria Road, Thornbury VIC 3071",Government,03 9484 1076,Penders Grove Primary School,Primary,Thornbury
110,"Mcrae Street, Seaford VIC 3198",Government,03 9786 1357,Seaford Primary School,Primary,Seaford
111,"225 Warrigal Road, Burwood VIC 3125",Government,03 9808 2165,Wattle Park Primary School,Primary,Burwood
112,"383 Murray Road, Preston VIC 3072",Government,03 9470 1546,Preston West Primary School,Primary,Preston
113,"16-22 Hutton Street, Thornbury VIC 3071",Government,03 9484 3254,Thornbury Primary School,Primary,Thornbury
114,"79-99 Dalgetty Road, Beaumaris VIC 3193",Government,03 9589 2619,Beaumaris Primary School,Primary,Beaumaris
115,"109 Blyth Street, Altona VIC 3018",Government,03 9398 2925,Altona Primary School,Primary,Altona
116,"Main Road, Hurstbridge VIC 3099",Government,03 9718 2386,Hurstbridge Primary School,Primary,Hurstbridge
117,"185-187 Reynard Street, Coburg VIC 3058",Government,03 9386 1286,Coburg West Primary School,Primary,Coburg
118,"Scott Street, Elwood VIC 3184",Government,03 9531 2762,Elwood Primary School,Primary,Elwood
119,"Barloa Road, Mont Albert VIC 3127",Government,03 9890 1331,Mont Albert Primary School,Primary,Mont Albert
120,"Duffy Street, Reservoir VIC 3073",Government,03 9460 5798,Reservoir Primary School,Primary,Reservoir
121,"87 Wilson Street, Moonee Ponds VIC 3039",Government,03 9375 2511,Moonee Ponds Primary School,Primary,Moonee Ponds
122,"58 Bishop Street, Yarraville VIC 3013",Government,03 9314 5869,Kingsville Primary School,Primary,Yarraville
123,"Langs Rd, Ascot Vale VIC 3032",Government,03 9370 8784,Ascot Vale West Primary School,Primary,Ascot Vale
124,"Milverton St, Camberwell VIC 3124",Government,03 9889 4012,Hartwell Primary School,Primary,Camberwell
125,"Somerville Road, Hampton Park VIC 3976",Government,03 9799 1440,Hampton Park Primary School,Primary,Hampton Park
126,"60a Rattray Road, Montmorency VIC 3094",Government,03 9434 5944,Montmorency Primary School,Primary,Montmorency
127,"2-10 Pascoe Street, Pascoe Vale VIC 3044",Government,03 9306 9481,Westbreen Primary School,Primary,Pascoe Vale
128,"14 Rosamond Road, Footscray VIC 3011",Government,03 9317 9047,Footscray North Primary School,Primary,Footscray
129,"Peate Avenue, Glen Iris VIC 3146",Government,03 9889 4295,Camberwell South Primary School,Primary,Glen Iris
130,"305-311 Nepean Highway, Parkdale VIC 3195",Government,03 9580 1451,Parkdale Primary School,Primary,Parkdale
131,"Brine Street, Hughesdale VIC 3166",Government,03 9570 4808,Hughesdale Primary School,Primary,Hughesdale
132,"23 Laura Street, Aspendale VIC 3195",Government,03 9580 3255,Aspendale Primary School,Primary,Aspendale
133,"32 Birdwood Avenue, Dandenong VIC 3175",Government,03 9792 2868,Dandenong West Primary School,Primary,Dandenong
134,"222 - 228 Yarra Road, Croydon VIC 3136",Government,03 9723 4182,Yarra Road Primary School,Primary,Croydon
135,"1 Doone Street, Essendon VIC 3040",Government,03 9337 8084,Aberfeldie Primary School,Primary,Essendon
136,"33 Klauer St, Seaford VIC 3198",Government,03 9786 9111,Nepean Special School,Special,Seaford
137,"78A Oakover Road, Preston VIC 3072",Government,03 9480 5622,Bell Primary School,Primary,Preston
138,"Weybridge Street, Surrey Hills VIC 3127",Government,03 9830 1933,Chatham Primary School,Primary,Surrey Hills
139,"Fakenham Road, Ashburton VIC 3147",Government,03 9885 2559,Ashburton Primary School,Primary,Ashburton
140,"23 Brewer Road, Bentleigh VIC 3204",Government,03 9557 1228,Bentleigh West Primary School,Primary,Bentleigh
141,"97 Fleetwood Drive, Narre Warren VIC 3805",Government,03 9705 2281,Fleetwood Primary School,Primary,Narre Warren
142,"180 O'Hea Street, Coburg VIC 3058",Government,03 9354 1660,Coburg North Primary School,Primary,Coburg
143,"Winton Road, Ashburton VIC 3147",Government,03 9885 2421,Solway Primary School,Primary,Ashburton
144,"2-26 Murphy Street, Preston VIC 3072",Government,03 9354 2928,Newlands Primary School,Primary,Preston
145,"24 Murray Road, Newborough VIC 3825",Government,03 5127 1448,Newborough Primary School,Primary,Newborough
146,"34 South Street, Moe VIC 3825",Government,03 5127 1512,Moe (South Street) Primary School,Primary,Moe
147,"183 Roslyn Road, Belmont VIC 3216",Government,03 5243 3538,Roslyn Primary School,Primary,Belmont
148,"Cnr Woods St & Maddox Rd, Newport VIC 3015",Government,03 9391 2168,Newport Gardens Primary School,Primary,Newport
149,"300 Old Sale Road, Newborough VIC 3825",Government,03 5126 1399,Newborough East Primary School,Primary,Newborough
150,"49 Stroud Street, Balwyn VIC 3103",Government,03 9859 8762,Belmore School,Special,Balwyn
151,"6A Ashleigh Avenue, Frankston VIC 3199",Government,03 9789 9552,Frankston East Primary School,Primary,Frankston
152,"58 Boldrewood Parade, Reservoir VIC 3073",Government,03 9460 1569,Reservoir East Primary School,Primary,Reservoir
153,"16 Tucker Rd, Bentleigh VIC 3204",Government,03 9557 2044,Tucker Road Bentleigh Primary School,Primary,Bentleigh
154,"5 O'Dowds Road, Warragul VIC 3820",Government,03 5623 4066,Warragul North Primary School,Primary,Warragul
155,"26 Maxwell Street, Lalor VIC 3075",Government,03 9465 3037,Lalor Primary School,Primary,Lalor
156,"5a Carrington Road, Reservoir VIC 3073",Government,03 9478 8211,Reservoir West Primary School,Primary,Reservoir
157,"111 Forest Road, Ferntree Gully VIC 3156",Government,03 9758 1662,Ferntree Gully North Primary School,Primary,Ferntree Gully
158,"Willett Avenue, Oak Park VIC 3046",Government,03 9306 9182,Oak Park Primary School,Primary,Oak Park
159,"117-125 Cleeland Street, Dandenong VIC 3175",Government,03 9794 7899,Dandenong North Primary School,Primary,Dandenong
160,"495 Princes Hwy, Noble Park VIC 3174",Government,03 9546 9210,Harrisfield Primary School,Primary,Noble Park
161,"Kent Road, Pascoe Vale VIC 3044",Government,03 9354 3343,Pascoe Vale North Primary School,Primary,Pascoe Vale
162,"28 Dorothy Avenue, Belmont VIC 3216",Government,03 5243 1613,Oberon Primary School,Primary,Belmont
163,"Cnr Elizabeth & King Streets, Moe VIC 3825",Government,03 5127 2607,Moe Primary School,Primary,Moe
164,"7-17 Station Avenue, St Albans VIC 3021",Government,03 9366 2071,St Albans East Primary School,Primary,St Albans
165,"Silver Street, Cheltenham VIC 3192",Government,03 9583 5746,Cheltenham East Primary School,Primary,Cheltenham
166,"87 - 91 Grand Boulevard, Craigieburn VIC 3064",Government,03 9308 1228,Craigieburn Primary School,Primary,Craigieburn
167,"Towerhill Road, Frankston VIC 3199",Government,03 9783 8777,Overport Primary School,Primary,Frankston
168,"32 St Leonards Ave, Yarraville VIC 3013",Government,03 9314 7054,Wembley Primary School,Primary,Yarraville
169,"959 Heatherton Road, Springvale VIC 3171",Government,03 9546 7562,Heatherhill Primary School,Primary,Springvale
170,"Wood Street, Beaumaris VIC 3193",Government,03 9589 5449,Beaumaris North Primary School,Primary,Beaumaris
171,"27 Liege Avenue, Noble Park VIC 3174",Government,03 9792 4406,Yarraman Oaks Primary School,Primary,Noble Park
172,"Mt Pleasant Road, Nunawading VIC 3131",Government,03 9878 1730,Mount Pleasant Road Nunawading Primary School,Primary,Nunawading
173,"York Street, Glenroy VIC 3046",Government,03 9306 8955,Glenroy West Primary School,Primary,Glenroy
174,"52 Kirkham Road, Dandenong VIC 3175",Government,03 9792 3726,Dandenong South Primary School,Primary,Dandenong
175,"George Street, St Albans VIC 3021",Government,03 9366 2029,St Albans North Primary School,Primary,St Albans
176,"Clarendon St, Avondale Heights VIC 3034",Government,03 9318 1755,Avondale Primary School,Primary,Avondale Heights
177,"10 Kalmia Street, Frankston VIC 3199",Government,03 9783 4988,Frankston Heights Primary School,Primary,Frankston
178,"82 Cedar Street, Thomastown VIC 3074",Government,03 9465 3032,Thomastown East Primary School,Primary,Thomastown
179,"36 Solomon Street, Mount Waverley VIC 3149",Government,03 9807 8120,Mount Waverley Heights Primary School,Primary,Mount Waverley
180,"Robert Street, Parkdale VIC 3195",Government,03 9580 1207,Parktone Primary School,Primary,Parkdale
181,"631-639 Whitehorse Road, Mitcham VIC 3132",Government,03 9874 4371,Antonio Park Primary School,Primary,Mitcham
182,"Broadmeadows Road, Tullamarine VIC 3043",Government,03 9338 2826,Tullamarine Primary School,Primary,Tullamarine
183,"12 - 14 Florence Street, Blackburn VIC 3130",Government,03 9894 2855,Blackburn Lake Primary School,Primary,Blackburn
184,"Janet Street, Blackburn VIC 3130",Government,03 9898 5811,Laburnum Primary School,Primary,Blackburn
185,"370-380 Springvale Road, Donvale VIC 3111",Government,03 9842 8319,Heatherwood School,Special,Donvale
186,"27-35 Pinewood Drive, Mount Waverley VIC 3149",Government,03 8847 3200,Pinewood Primary School,Primary,Mount Waverley
187,"62-70 Blair Street, Broadmeadows VIC 3047",Government,03 9302 6060,Broadmeadows Primary School,Primary,Broadmeadows
188,"111 Anderson Road, Fawkner VIC 3060",Government,03 9359 2028,Moomba Park Primary School,Primary,Fawkner
189,"Hinkley Ave, Croydon VIC 3136",Government,03 9870 1566,Ainslie Parklands Primary School,Primary,Croydon
190,"38-54 Jolimont Road, Forest Hill VIC 3131",Government,03 9878 5556,Parkmore Primary School,Primary,Forest Hill
191,"120 Flinders Avenue, Lara VIC 3212",Government,03 5282 1427,Lara Primary School,Primary,Lara
192,"18 Panfield Avenue, Ringwood VIC 3134",Government,03 9870 2120,Mullum Primary School,Primary,Ringwood
193,"1 Tucker Street, Cranbourne VIC 3977",Government,03 5996 1142,Cranbourne Park Primary School,Primary,Cranbourne
194,"Mine Street, Greensborough VIC 3088",Government,03 9435 4181,Greenhills Primary School,Primary,Greensborough
195,"16 Grove Street, Eltham VIC 3095",Government,03 9439 9793,Eltham East Primary School,Primary,Eltham
196,"30 Belvedere Road, Seaford VIC 3198",Government,03 9786 3205,Belvedere Park Primary School,Primary,Seaford
197,"22-30 Essex Road, Mount Waverley VIC 3149",Government,03 9807 4944,Essex Heights Primary School,Primary,Mount Waverley
198,"Adele Avenue, Ferntree Gully VIC 3156",Government,03 9758 2811,Mountain Gate Primary School,Primary,Ferntree Gully
199,"Manuka Drive, Ferntree Gully VIC 3156",Government,03 9758 3007,Fairhills Primary School,Primary,Ferntree Gully
200,"25 Tormore Road, Boronia VIC 3155",Government,03 9762 2510,Boronia West Primary School,Primary,Boronia
201,"208 Hilton St, Glenroy VIC 3046",Government,03 9304 2263,Glenroy Specialist School,Special,Glenroy
202,"18 - 20 Ruskin Ave, Croydon VIC 3136",Government,03 9723 3886,Ruskin Park Primary School,Primary,Croydon
203,"1430 Heatherton Road, Dandenong VIC 3175",Government,03 9791 8900,Emerson School,Special,Dandenong
204,"Mallum Avenue, Frankston VIC 3199",Government,03 9789 0514,Karingal Primary School,Primary,Frankston
205,"Shepherd Road, Glen Waverley VIC 3150",Government,03 9560 0471,Mount View Primary School,Primary,Glen Waverley
206,"14 Montgomery Avenue, Mount Waverley VIC 3149",Government,03 9802 5277,Syndal South Primary School,Primary,Mount Waverley
207,"64 Buena Vista Drive, Montmorency VIC 3094",Government,03 9439 6201,Montmorency South Primary School,Primary,Montmorency
208,"61 Henry Street, Greensborough VIC 3088",Government,03 9435 4617,Watsonia Heights Primary School,Primary,Greensborough
209,"Cnr Forest & Hancock Streets, Wendouree VIC 3355",Government,03 5339 2110,Forest Street Primary School,Primary,Wendouree
210,"Balmoral Avenue, Bundoora VIC 3083",Government,03 9467 2601,Bundoora Primary School,Primary,Bundoora
211,"Lister Street, St Albans VIC 3021",Government,03 9366 1356,University Park Primary School,Primary,St Albans
212,"Norwich Street, St Albans VIC 3021",Government,03 9366 3127,St Albans Heights Primary School,Primary,St Albans
213,"15- 41 Koroit Avenue, Broadmeadows VIC 3047",Government,03 9309 3477,Hume Valley School,Special,Broadmeadows
214,"Broome Avenue, Mentone VIC 3194",Government,03 9583 4935,Mentone Park Primary School,Primary,Mentone
215,"Elata Street, Donvale VIC 3111",Government,03 9842 3373,Donvale Primary School,Primary,Donvale
216,"Landscape Drive, Boronia VIC 3155",Government,03 9729 2614,Boronia Heights Primary School,Primary,Boronia
217,"7 Allen Street, Glen Waverley VIC 3150",Government,03 9561 1966,Glenallen School,Special,Glen Waverley
218,"Enfield Drive, Bayswater VIC 3153",Government,03 9729 2862,Bayswater South Primary School,Primary,Bayswater
219,"81 Hallifax Street, Seaford VIC 3198",Government,03 9786 5674,Seaford North Primary School,Primary,Seaford
220,"39 Cleveland Street, Thomastown VIC 3074",Government,03 9465 4350,Lalor East Primary School,Primary,Thomastown
221,"40-46 Mulhall Drive, St Albans VIC 3021",Government,03 9366 4322,Jackson School,Special,St Albans
222,"Cnr Palmerston & Drummond Sts, Carlton VIC 3053",Government,03 9347 6022,Carlton Primary School,Primary,Carlton
223,"Tintinara Crescent, Belmont VIC 3216",Government,03 5243 2997,Oberon South Primary School,Primary,Belmont
224,"33 Ashton Street, Glen Waverley VIC 3150",Government,03 9887 8000,Highvale Primary School,Primary,Glen Waverley
225,"89-105 Carlton Road, Dandenong VIC 3175",Government,03 9795 2007,Wooranna Park Primary School,Primary,Dandenong
226,"Heyington Avenue, Doncaster VIC 3108",Government,03 9848 4996,Birralee Primary School,Primary,Doncaster
227,"98-112 Main Street, Thomastown VIC 3074",Government,03 9465 4317,Thomastown West Primary School,Primary,Thomastown
228,"Paratea Drive, Rowville VIC 3178",Government,03 9764 1955,Rowville Primary School,Primary,Rowville
229,"Langridge Street, Hoppers Crossing VIC 3029",Government,03 9749 1227,Mossfiel Primary School,Primary,Hoppers Crossing
230,"Belar Avenue, Frankston VIC 3199",Government,03 9789 5614,Ballam Park Primary School,Primary,Frankston
231,"479-491 Elizabeth Drive, Sunbury VIC 3429",Government,03 9740 8666,Sunbury West Primary School,Primary,Sunbury
232,"15 - 25 South Circular Road, Gladstone Park VIC 3043",Government,03 9338 2774,Gladstone Park Primary School,Primary,Gladstone Park
233,"55 Nottingham Street, Glen Waverley VIC 3150",Government,03 9803 1330,Glendal Primary School,Primary,Glen Waverley
234,"Wattletree Road, Ferntree Gully VIC 3156",Government,03 9758 4322,Wattle View Primary School,Primary,Ferntree Gully
235,"Suite 1.4, Level 1, Parkville VIC 3052",Government,03 93459700,Royal Childrens Hospital Education Institute,Special,Parkville
236,"411 Grimshaw Street, Bundoora VIC 3083",Government,03 9467 3972,Concord School,Special,Bundoora
237,"Quinn Street, Deer Park VIC 3023",Government,03 9363 3519,Deer Park West Primary School,Primary,Deer Park
238,"2 Derna Crescent, Lalor VIC 3075",Government,03 9465 4922,Lalor North Primary School,Primary,Lalor
239,"4 Westmelton Drive, Melton VIC 3337",Government,03 9743 5818,Melton West Primary School,Primary,Melton
240,"Phyllis Street, Bayswater VIC 3153",Government,03 9729 3394,Bayswater West Primary School,Primary,Bayswater
241,"Robertson Drive, Mornington VIC 3931",Government,03 5975 4011,Mornington Park Primary School,Primary,Mornington
242,"25 Lennox Street, Richmond VIC 3121",Government,03 9427 8736,Richmond West Primary School,Primary,Richmond
243,"52 Kings Road, St Albans VIC 3021",Government,03 9366 1381,Stevensville Primary School,Primary,St Albans
244,"33-57 Warringa Crescent, Hoppers Crossing VIC 3029",Government,03 9749 2770,Woodville Primary School,Primary,Hoppers Crossing
245,"Havana Crescent, Frankston VIC 3199",Government,03 9789 3288,Karingal Heights Primary School,Primary,Frankston
246,"38-64 Wallarano Drive, Noble Park VIC 3174",Government,03 9798 1890,Wallarano Primary School,Primary,Noble Park
247,"Bowen Road, Lilydale VIC 3140",Government,03 9735 4670,Lilydale West Primary School,Primary,Lilydale
248,"100 Victoria Street, Flemington VIC 3031",Government,03 9376 1570,Debney Meadows Primary School,Primary,Flemington
